"Date","Price","Open","High","Low","Change %"
"Mar 02, 2021","7.3447","7.2801","7.3645","7.2789","0.93%"
"Mar 01, 2021","7.2769","7.4269","7.4296","7.2181","-1.96%"
"Feb 26, 2021","7.4226","7.3418","7.4925","7.2979","1.20%"
"Feb 25, 2021","7.3345","7.1684","7.4460","7.1537","2.37%"
"Feb 24, 2021","7.1648","7.1068","7.2527","7.0721","0.88%"
"Feb 23, 2021","7.1020","7.0201","7.1178","7.0017","1.25%"
"Feb 22, 2021","7.0144","6.9637","7.0925","6.9576","0.80%"
"Feb 19, 2021","6.9587","6.9719","7.0086","6.9460","0.01%"
"Feb 18, 2021","6.9583","6.9710","7.0118","6.9201","-0.15%"
"Feb 17, 2021","6.9687","6.9928","7.0603","6.9565","-0.25%"
"Feb 16, 2021","6.9863","6.9655","7.0213","6.8882","0.40%"
"Feb 15, 2021","6.9584","7.0355","7.0386","6.9427","-1.05%"
"Feb 12, 2021","7.0319","7.0227","7.0543","7.0037","0.12%"
"Feb 11, 2021","7.0235","7.0619","7.0718","7.0051","-0.42%"
"Feb 10, 2021","7.0528","7.0655","7.0890","7.0287","-0.08%"
"Feb 09, 2021","7.0581","7.0713","7.1451","7.0612","-0.13%"
"Feb 08, 2021","7.0671","7.0601","7.1256","7.0237","0.26%"
"Feb 05, 2021","7.0488","7.1373","7.1491","7.0289","-1.18%"
"Feb 04, 2021","7.1333","7.1624","7.1836","7.0952","-0.33%"
"Feb 03, 2021","7.1570","7.1967","7.2058","7.1198","-0.48%"
"Feb 02, 2021","7.1917","7.1920","7.2042","7.0851","0.05%"
"Feb 01, 2021","7.1883","7.3151","7.3177","7.1557","-1.66%"
"Jan 29, 2021","7.3099","7.3430","7.3910","7.2695","-0.31%"
"Jan 28, 2021","7.3324","7.3955","7.4365","7.3262","-0.80%"
"Jan 27, 2021","7.3918","7.3464","7.4166","7.3355","0.67%"
"Jan 26, 2021","7.3429","7.4065","7.4376","7.3290","-0.83%"
"Jan 25, 2021","7.4040","7.4147","7.4309","7.3624","-0.09%"
"Jan 22, 2021","7.4106","7.3684","7.4460","7.3643","0.64%"
"Jan 21, 2021","7.3636","7.4201","7.4292","7.3440","-0.72%"
"Jan 20, 2021","7.4169","7.4770","7.4888","7.3846","-0.70%"
"Jan 19, 2021","7.4691","7.4818","7.4914","7.4132","-0.10%"
"Jan 18, 2021","7.4768","7.4729","7.5458","7.4551","0.05%"
"Jan 15, 2021","7.4733","7.3615","7.5178","7.3495","1.40%"
"Jan 14, 2021","7.3699","7.4014","7.4640","7.3494","-0.32%"
"Jan 13, 2021","7.3934","7.4530","7.4776","7.3861","-0.74%"
"Jan 12, 2021","7.4482","7.4791","7.5248","7.4194","-0.34%"
"Jan 11, 2021","7.4733","7.3636","7.5321","7.3584","1.38%"
"Jan 08, 2021","7.3713","7.3198","7.4194","7.3045","0.77%"
"Jan 07, 2021","7.3149","7.3067","7.3955","7.2372","0.14%"
"Jan 06, 2021","7.3047","7.3893","7.3973","7.2663","-1.10%"
"Jan 05, 2021","7.3856","7.4263","7.4382","7.3591","-0.46%"
"Jan 04, 2021","7.4198","7.4403","7.4470","7.3393","-0.26%"
"Jan 01, 2021","7.4392","7.4392","7.4392","7.4392","0.00%"
"Dec 31, 2020","7.4392","7.3810","7.4928","7.3461","0.84%"
"Dec 30, 2020","7.3774","7.3865","7.3993","7.3030","-0.06%"
"Dec 29, 2020","7.3815","7.4466","7.4804","7.3376","-0.81%"
"Dec 28, 2020","7.4416","7.5716","7.5756","7.4035","-1.40%"
"Dec 25, 2020","7.5470","7.5801","7.6016","7.5305","-0.37%"
"Dec 24, 2020","7.5747","7.6398","7.6757","7.5460","-0.80%"
"Dec 23, 2020","7.6361","7.6632","7.6711","7.6140","-0.27%"
"Dec 22, 2020","7.6570","7.6506","7.6786","7.6129","0.10%"
"Dec 21, 2020","7.6491","7.6310","7.7376","7.6234","0.33%"
"Dec 18, 2020","7.6239","7.7009","7.7607","7.6122","-0.94%"
"Dec 17, 2020","7.6959","7.7999","7.8097","7.6896","-1.27%"
"Dec 16, 2020","7.7949","7.8440","7.8492","7.7573","-0.45%"
"Dec 15, 2020","7.8300","7.8534","7.8734","7.8113","-0.23%"
"Dec 14, 2020","7.8483","7.8601","7.9392","7.8234","-0.10%"
"Dec 11, 2020","7.8562","7.8841","8.0347","7.8149","-0.38%"
"Dec 10, 2020","7.8864","7.8263","7.9256","7.8163","0.91%"
"Dec 09, 2020","7.8156","7.8155","7.8524","7.7888","0.13%"
"Dec 08, 2020","7.8055","7.8007","7.8529","7.7865","0.11%"
